"Date";"DateCheck";"Q.m3Hrs";"Qna"
2016-03-25 13:34:00;"25/03/2016 13:34";1,15;1,15
2016-03-25 13:36:00;"25/03/2016 13:36";1,099;1,099
2016-03-25 13:38:00;"25/03/2016 13:38";1,141;1,141
2016-03-25 13:40:00;"25/03/2016 13:40";1,167;1,167
2016-03-25 13:42:00;"25/03/2016 13:42";1,148;1,148
2016-03-25 13:44:00;"25/03/2016 13:44";1,117;1,117
2016-03-25 13:46:00;"25/03/2016 13:46";1,106;1,106
2016-03-25 13:48:00;"25/03/2016 13:48";1,155;1,155
2016-03-25 13:50:00;"25/03/2016 13:50";1,151;1,151
2016-03-25 13:52:00;"25/03/2016 13:52";1,113;1,113
2016-03-25 13:54:00;"25/03/2016 13:54";1,174;1,174
2016-03-25 13:56:00;"25/03/2016 13:56";1,187;1,187
